edad,ingresos,años_experiencia,ratio_deuda_ingresos,deuda_credito,otra_deuda,incumplimiento,antiguedad_crediticia,deuda_total,log_ingresos,ratio_deuda_total_ingreso
40,55.0,15,5.5,0.856075,2.168925,0,4,3.0250000000000004,1.7481880270062005,0.05500000000000001
41,120.0,15,2.9,2.65872,0.82128,0,4,3.4800000000000004,2.0827853703164503,0.029000000000000005
41,25.0,5,10.2,0.3927,2.1573,0,4,2.5500000000000003,1.414973347970818,0.10200000000000001
43,38.0,12,3.6,0.128592,1.239408,0,4,1.368,1.591064607026499,0.036000000000000004
27,16.0,0,1.7,0.182512,0.089488,0,4,0.272,1.2304489213782739,0.017
25,23.0,4,5.2,0.252356,0.943644,0,4,1.1960000000000002,1.380211241711606,0.052000000000000005
36,49.0,9,8.6,0.817516,3.396484,1,4,4.214,1.6989700043360187,0.08600000000000001
43,72.0,23,7.6,1.181952,4.290048,0,4,5.4719999999999995,1.863322860120456,0.076
39,61.0,6,5.7,0.563274,2.913726,0,4,3.4770000000000003,1.792391689498254,0.057
41,26.0,0,1.7,0.099008,0.342992,0,4,0.442,1.4313637641589874,0.017
39,52.0,22,3.2,1.154816,0.509184,0,4,1.6640000000000001,1.724275869600789,0.032
47,43.0,17,5.6,0.587552,1.820448,0,4,2.408,1.6434526764861874,0.056
28,26.0,3,10.0,0.4316,2.1684,0,4,2.6,1.4313637641589874,0.1
29,27.0,8,9.8,0.402192,2.243808,0,4,2.646,1.4471580313422192,0.09799999999999999
45,69.0,9,6.7,0.707319,3.915681,0,4,4.623,1.845098040014257,0.067
26,37.0,2,14.2,0.204906,5.049094,0,4,5.2540000000000004,1.5797835966168101,0.14200000000000002
45,20.0,3,2.1,0.105,0.315,0,4,0.42,1.3222192947339193,0.020999999999999998
30,22.0,1,10.5,1.13883,1.17117,0,4,2.31,1.3617278360175928,0.105
27,26.0,2,6.0,0.72228,0.83772,0,4,1.56,1.4313637641589874,0.060000000000000005
25,27.0,8,14.4,1.018656,2.869344,0,4,3.888,1.4471580313422192,0.144
25,35.0,8,2.9,0.07714,0.93786,0,4,1.0150000000000001,1.5563025007672873,0.029000000000000005
45,50.0,23,4.2,0.5586,1.5414,0,4,2.1,1.7075701760979363,0.042
23,31.0,7,6.6,0.33759,1.70841,0,4,2.046,1.505149978319906,0.06599999999999999
34,59.0,17,8.0,1.80776,2.91224,0,4,4.720000000000001,1.7781512503836436,0.08000000000000002
42,41.0,7,4.6,0.941114,0.944886,0,4,1.8860000000000001,1.6232492903979006,0.046000000000000006
26,14.0,0,7.5,0.3024,0.7476,1,4,1.05,1.1760912590556813,0.075
21,16.0,0,6.8,0.150144,0.937856,0,4,1.088,1.2304489213782739,0.068
35,35.0,13,4.5,0.43155,1.14345,0,4,1.5750000000000002,1.5563025007672873,0.045000000000000005
47,26.0,4,10.4,0.12168,2.58232,0,4,2.704,1.4313637641589874,0.10400000000000001
23,21.0,0,11.4,0.775656,1.618344,1,4,2.394,1.3424226808222062,0.114
35,42.0,18,7.4,0.205128,2.902872,0,4,3.108,1.6334684555795864,0.074
34,25.0,2,12.6,0.5733,2.5767,1,4,3.1500000000000004,1.414973347970818,0.126
46,20.0,1,14.0,0.8092,1.9908,0,4,2.8,1.3222192947339193,0.13999999999999999
38,25.0,3,3.7,0.311725,0.613275,0,4,0.925,1.414973347970818,0.037000000000000005
40,28.0,3,9.5,0.55328,2.10672,0,4,2.66,1.462397997898956,0.095
35,34.0,9,5.0,0.3978,1.3022,0,4,1.7,1.5440680443502757,0.049999999999999996
39,69.0,16,2.4,1.061496,0.594504,0,4,1.6560000000000001,1.845098040014257,0.024
40,100.0,18,2.5,1.485,1.015,0,4,2.5,2.0043213737826426,0.025
31,28.0,9,2.4,0.047712,0.624288,0,4,0.6719999999999999,1.462397997898956,0.023999999999999997
29,42.0,13,7.4,1.457652,1.650348,1,4,3.1079999999999997,1.6334684555795864,0.074
37,23.0,4,12.4,0.86986,1.98214,0,4,2.852,1.380211241711606,0.124
33,55.0,4,7.0,2.15985,1.69015,0,4,3.85,1.7481880270062005,0.07
26,28.0,5,7.8,1.024296,1.159704,0,4,2.184,1.462397997898956,0.078
28,23.0,2,6.4,0.186944,1.285056,1,4,1.472,1.380211241711606,0.064
39,46.0,19,9.1,2.515786,1.670214,0,4,4.186,1.6720978579357175,0.091
28,31.0,8,8.2,1.492154,1.049846,1,4,2.542,1.505149978319906,0.08199999999999999
43,26.0,1,10.6,1.518556,1.237444,0,4,2.7560000000000002,1.4313637641589874,0.10600000000000001
41,44.0,13,1.7,0.07106,0.67694,0,4,0.748,1.6532125137753437,0.017
24,21.0,2,0.6,0.025074,0.100926,0,4,0.126,1.3424226808222062,0.006
29,17.0,1,6.7,0.157182,0.981818,0,4,1.139,1.255272505103306,0.067
33,37.0,14,2.6,0.199134,0.762866,0,4,0.9620000000000001,1.5797835966168101,0.026000000000000002
36,39.0,15,3.2,0.6864,0.5616,0,4,1.248,1.6020599913279623,0.032
26,27.0,4,10.5,2.47212,0.36288,1,4,2.835,1.4471580313422192,0.105
35,29.0,4,11.0,1.84382,1.34618,0,4,3.19,1.4771212547196624,0.11
26,20.0,4,5.4,0.3186,0.7614,0,4,1.08,1.3222192947339193,0.054000000000000006
29,36.0,5,12.4,3.490848,0.973152,1,4,4.464,1.568201724066995,0.12400000000000001
32,28.0,12,2.9,0.116116,0.695884,0,4,0.8119999999999999,1.462397997898956,0.028999999999999998
32,23.0,3,6.2,0.052762,1.373238,0,4,1.426,1.380211241711606,0.062
25,15.0,1,11.4,0.37107,1.33893,1,4,1.71,1.2041199826559248,0.114
38,54.0,5,10.6,1.499688,4.224312,0,4,5.724,1.7403626894942439,0.106
32,18.0,0,5.8,0.296496,0.747504,1,4,1.044,1.2787536009528289,0.058
36,54.0,17,4.4,0.727056,1.648944,0,4,2.376,1.7403626894942439,0.044
42,82.0,13,3.3,1.315116,1.390884,0,4,2.706,1.919078092376074,0.033
41,52.0,14,7.3,0.926224,2.869776,0,4,3.796,1.724275869600789,0.073
29,19.0,4,6.3,0.681093,0.515907,0,4,1.197,1.3010299956639813,0.063
38,31.0,4,9.3,1.331946,1.551054,1,4,2.883,1.505149978319906,0.093
39,113.0,22,2.6,0.987168,1.950832,0,4,2.9379999999999997,2.0569048513364727,0.026
36,26.0,6,8.3,0.030212,2.127788,0,4,2.158,1.4313637641589874,0.08299999999999999
33,27.0,8,5.8,0.776736,0.789264,0,4,1.5659999999999998,1.4471580313422192,0.057999999999999996
42,121.0,21,3.1,1.365364,2.385636,0,4,3.751,2.0863598306747484,0.031
40,28.0,8,3.6,0.53424,0.47376,0,4,1.008,1.462397997898956,0.036
53,50.0,9,11.2,2.016,3.584,1,4,5.6,1.7075701760979363,0.11199999999999999
28,26.0,4,13.5,1.29519,2.21481,0,4,3.51,1.4313637641589874,0.13499999999999998
36,60.0,12,7.9,1.72062,3.01938,0,4,4.74,1.7853298350107671,0.079
34,45.0,9,10.1,1.11807,3.42693,0,4,4.545,1.662757831681574,0.10099999999999999
45,39.0,2,4.9,0.45864,1.45236,0,4,1.911,1.6020599913279623,0.049
38,41.0,6,8.9,0.266377,3.382623,0,4,3.649,1.6232492903979006,0.089
21,24.0,0,7.7,0.833448,1.014552,0,4,1.8479999999999999,1.3979400086720377,0.077
52,64.0,16,8.6,1.865856,3.638144,0,4,5.504,1.8129133566428555,0.086
25,33.0,4,5.2,0.552552,1.163448,0,4,1.7160000000000002,1.5314789170422551,0.052000000000000005
34,65.0,9,6.2,2.10769,1.92231,0,4,4.029999999999999,1.8195439355418688,0.06199999999999999
40,73.0,15,3.4,1.032512,1.449488,0,4,2.482,1.8692317197309762,0.034
31,27.0,0,12.8,1.08864,2.36736,1,4,3.4560000000000004,1.4471580313422192,0.128
25,20.0,1,6.7,0.47168,0.86832,1,4,1.3399999999999999,1.3222192947339193,0.06699999999999999
45,37.0,12,9.5,1.34273,2.17227,0,4,3.515,1.5797835966168101,0.095
23,19.0,3,8.4,0.2793,1.3167,1,4,1.596,1.3010299956639813,0.084
31,22.0,2,12.7,1.092454,1.701546,1,4,2.794,1.3617278360175928,0.127
28,22.0,5,2.8,0.140448,0.475552,0,4,0.616,1.3617278360175928,0.028
41,43.0,7,4.4,0.694364,1.197636,0,4,1.892,1.6434526764861874,0.044
29,36.0,9,1.4,0.127008,0.376992,0,4,0.504,1.568201724066995,0.014
21,25.0,5,9.0,0.36675,1.88325,0,4,2.25,1.414973347970818,0.09
41,68.0,19,5.8,1.506608,2.437392,0,4,3.944,1.8388490907372552,0.057999999999999996
26,27.0,1,2.9,0.311634,0.471366,0,4,0.783,1.4471580313422192,0.029
33,18.0,5,12.9,0.984528,1.337472,0,4,2.322,1.2787536009528289,0.129
24,21.0,7,6.3,0.519939,0.803061,0,4,1.323,1.3424226808222062,0.063
29,57.0,6,2.2,0.452694,0.801306,0,4,1.254,1.7634279935629373,0.022
27,23.0,1,12.4,0.2852,2.5668,0,4,2.8520000000000003,1.380211241711606,0.12400000000000001
40,28.0,13,5.9,0.964768,0.687232,0,4,1.652,1.462397997898956,0.059
29,24.0,8,6.7,0.469536,1.138464,0,4,1.6079999999999999,1.3979400086720377,0.06699999999999999
29,37.0,4,6.6,1.15995,1.28205,1,4,2.442,1.5797835966168101,0.066
31,25.0,11,9.1,0.14105,2.13395,0,4,2.275,1.414973347970818,0.091
41,68.0,16,5.4,0.447984,3.224016,0,4,3.672,1.8388490907372552,0.054
42,41.0,5,3.4,0.35547,1.03853,0,4,1.394,1.6232492903979006,0.033999999999999996
28,26.0,1,12.4,0.377208,2.846792,0,4,3.224,1.4313637641589874,0.12400000000000001
30,25.0,2,10.0,1.77,0.73,0,4,2.5,1.414973347970818,0.1
30,33.0,11,8.4,0.681912,2.090088,0,4,2.7720000000000002,1.5314789170422551,0.084
31,44.0,8,8.0,1.72128,1.79872,0,4,3.52,1.6532125137753437,0.08
43,76.0,13,6.1,2.151104,2.484896,1,4,4.636,1.8864907251724818,0.061
28,30.0,8,7.2,0.61344,1.54656,0,4,2.16,1.4913616938342726,0.07200000000000001
27,33.0,3,13.2,1.6335,2.7225,0,4,4.356,1.5314789170422551,0.132
33,32.0,12,11.3,2.104512,1.511488,0,4,3.616,1.5185139398778875,0.113
33,29.0,9,13.8,1.348674,2.653326,1,4,4.002,1.4771212547196624,0.13799999999999998
31,26.0,9,4.5,0.31005,0.85995,0,4,1.17,1.4313637641589874,0.045
21,26.0,4,8.9,1.420796,0.893204,0,4,2.314,1.4313637641589874,0.089
28,44.0,5,8.7,0.773256,3.054744,0,4,3.828,1.6532125137753437,0.087
31,26.0,2,6.8,0.28288,1.48512,1,4,1.768,1.4313637641589874,0.068
32,26.0,8,4.1,0.326196,0.739804,0,4,1.066,1.4313637641589874,0.041
35,24.0,1,12.5,0.591,2.409,1,4,3.0,1.3979400086720377,0.125
39,38.0,4,6.5,1.17819,1.29181,0,4,2.4699999999999998,1.591064607026499,0.06499999999999999
41,44.0,14,1.7,0.353056,0.394944,0,4,0.748,1.6532125137753437,0.017
34,79.0,16,4.0,1.73484,1.42516,0,4,3.16,1.9030899869919435,0.04
29,22.0,7,9.7,0.550572,1.583428,0,4,2.134,1.3617278360175928,0.09699999999999999
